applicant_id,age,years_employed,num_dependents,education_level,marital_status,annual_income,monthly_income,other_income,total_debt,monthly_debt_payment,num_open_loans,loan_amount,loan_purpose,credit_limit,credit_used,num_credit_lines,credit_age_years,num_late_payments,num_missed_payments,num_credit_inquiries,num_bankruptcies,num_collections,debt_to_income,monthly_payment_ratio,loan_to_income,debt_per_loan,credit_utilization,available_credit,credit_per_line,payment_history_score,missed_to_late_ratio,total_derogatory,total_income,income_per_dependent,income_stability,financial_maturity,employment_ratio,credit_age_income,net_worth_proxy,debt_coverage_ratio,creditworthy,credit_score,risk_tier
APL00001,19,1.9,1,Master,Single,45585.65,3798.8,6.36,44092.45,929.78,2,23021.24,Home,25692.9,4702.62,8,2.2,0,1,1,0,0,0.967244,0.244756,0.505011,14697.48,0.183032,20990.28,587.83,0.333333,1.0,2.5,45661.97,22830.98,20.382,152,0.633333,23.6002,1493.2,4.0857,0,694,Fair
APL00002,53,23.0,3,High School,Married,67394.6,5616.22,175.76,12306.71,353.83,4,12337.78,Personal,14832.04,1460.77,14,7.2,2,0,0,0,0,0.182607,0.063001,0.183068,2461.34,0.098487,13371.27,104.34,0.333333,0.0,2.0,69503.72,17375.93,255.7217,742,0.621622,80.052,55087.89,15.8727,1,739,Good
APL00003,75,11.6,0,High School,Married,48117.24,4009.77,56.57,8422.83,150.04,7,43653.4,Education,9979.97,1849.25,5,21.0,1,2,0,0,0,0.175048,0.037419,0.90723,1052.85,0.185296,8130.72,369.85,0.166667,1.0,5.0,48796.08,48796.08,125.0644,375,0.19661,226.4097,39694.41,26.7247,1,712,Good
APL00004,58,2.5,0,Bachelor,Divorced,24784.79,2065.4,215.41,1735.83,68.24,4,40791.18,Personal,13118.05,1383.51,5,19.3,1,1,0,0,0,0.070036,0.03304,1.645815,347.17,0.105466,11734.54,276.7,0.25,0.5,3.0,27369.71,27369.71,25.2951,290,0.059524,195.2779,23048.96,30.2667,1,717,Good
APL00005,27,9.5,3,High School,Single,37949.22,3162.44,569.63,49229.8,1199.95,0,10098.64,Business,17327.78,6724.47,12,4.6,2,1,0,0,0,1.297255,0.379438,0.266109,49229.8,0.388075,10603.31,560.37,0.2,0.333333,4.0,44784.78,11196.2,100.1683,324,0.863636,48.5025,-11280.58,2.6355,0,656,Fair
APL00006,58,5.3,2,Bachelor,Married,35172.52,2931.04,17.5,14405.25,232.16,5,9390.37,Education,20153.99,1072.54,8,11.8,2,0,1,0,0,0.40956,0.079207,0.26698,2400.88,0.053217,19081.45,134.07,0.333333,0.0,2.5,35382.52,11794.17,55.4807,464,0.12619,123.523,20767.27,12.6251,1,711,Good
APL00007,36,21.7,2,Master,Married,33852.92,2821.08,55.98,18020.49,504.1,2,25902.05,Medical,18317.64,7255.3,9,16.3,3,1,1,0,1,0.532317,0.17869,0.765135,6006.83,0.396083,11062.34,806.14,0.166667,0.25,7.0,34524.68,11508.23,226.3269,324,1.085,170.0059,15832.43,5.5963,0,667,Fair
APL00008,22,2.0,1,High School,Single,95792.94,7982.74,493.99,12976.47,375.76,4,23196.04,Home,6742.81,2279.68,3,16.6,3,1,1,0,0,0.135464,0.047072,0.242148,2595.29,0.33809,4463.13,759.89,0.166667,0.25,5.5,101720.82,50860.41,22.9399,66,0.333333,190.4012,82816.47,21.2443,1,723,Good
APL00009,23,1.2,0,High School,Single,43546.89,3628.91,716.67,8329.69,320.63,6,82325.18,Car,13800.09,2751.31,6,4.7,1,3,1,0,0,0.191281,0.088354,1.890495,1189.96,0.199369,11048.78,458.55,0.125,1.5,7.5,52146.93,52146.93,12.8179,138,0.171429,50.2036,35217.2,11.3181,0,670,Fair
APL00010,70,8.2,3,Bachelor,Married,64031.08,5335.92,730.84,7591.86,283.69,7,62193.4,Education,9012.7,1545.41,2,17.1,2,0,2,0,0,0.118565,0.053166,0.9713,948.98,0.17147,7467.29,772.7,0.333333,0.0,3.0,72801.16,18200.29,90.7505,140,0.151852,189.2481,56439.22,18.809,1,728,Good
